Keyword,Frequency
Flight,2267
Airline,82
Booking,538
Departure,11
Arrival,7
Boarding pass,36
Ticket,113
Airport,302
Hotel,3473
Reservation,33
Room,80
Accommodation,25
Check-in,92
Check-out,1
Amenities,3
Holiday,157
Vacation,45
Destination,25
Travel,908
Tour,28
Itinerary,73
Sightseeing,0
Getaway,5
